Epoch=69;accuracy=0.9005;loss=0.2980;val_accuracy=0.8199;val_loss=1.2363
Epoch=70;accuracy=0.9210;loss=0.2593;val_accuracy=0.8123;val_loss=1.2413
Epoch=71;accuracy=0.9117;loss=0.2472;val_accuracy=0.8161;val_loss=1.2417
Epoch=72;accuracy=0.9111;loss=0.2643;val_accuracy=0.8046;val_loss=1.3031
Epoch=73;accuracy=0.9075;loss=0.2835;val_accuracy=0.8161;val_loss=1.2713
Epoch=74;accuracy=0.8877;loss=0.3402;val_accuracy=0.8161;val_loss=1.2584
Epoch=75;accuracy=0.9179;loss=0.2355;val_accuracy=0.8199;val_loss=1.2627
Epoch=76;accuracy=0.9064;loss=0.2852;val_accuracy=0.8084;val_loss=1.2638
Epoch=77;accuracy=0.9031;loss=0.2743;val_accuracy=0.8161;val_loss=1.2595
Epoch=78;accuracy=0.9097;loss=0.2638;val_accuracy=0.8161;val_loss=1.2612
Epoch=79;accuracy=0.9230;loss=0.2324;val_accuracy=0.8161;val_loss=1.2731
Epoch=80;accuracy=0.9159;loss=0.2594;val_accuracy=0.8161;val_loss=1.2719
Epoch=81;accuracy=0.9140;loss=0.2604;val_accuracy=0.8123;val_loss=1.2814
Epoch=82;accuracy=0.9179;loss=0.2435;val_accuracy=0.8161;val_loss=1.2771
Epoch=83;accuracy=0.9090;loss=0.2532;val_accuracy=0.8161;val_loss=1.2836
Epoch=84;accuracy=0.9276;loss=0.2479;val_accuracy=0.8161;val_loss=1.2893
Epoch=85;accuracy=0.8954;loss=0.2700;val_accuracy=0.8161;val_loss=1.2818
Epoch=86;accuracy=0.9026;loss=0.2849;val_accuracy=0.8123;val_loss=1.2884
Epoch=87;accuracy=0.9117;loss=0.2432;val_accuracy=0.8123;val_loss=1.2986
Epoch=88;accuracy=0.9034;loss=0.2672;val_accuracy=0.8161;val_loss=1.2802
Epoch=89;accuracy=0.9188;loss=0.2413;val_accuracy=0.8161;val_loss=1.2998
Epoch=90;accuracy=0.9055;loss=0.2704;val_accuracy=0.8123;val_loss=1.2961
Epoch=91;accuracy=0.9256;loss=0.2272;val_accuracy=0.8161;val_loss=1.2879
Epoch=92;accuracy=0.9106;loss=0.2599;val_accuracy=0.8161;val_loss=1.3093
Epoch=93;accuracy=0.9254;loss=0.2236;val_accuracy=0.8123;val_loss=1.2937
Epoch=94;accuracy=0.9106;loss=0.2579;val_accuracy=0.8161;val_loss=1.3041
Epoch=95;accuracy=0.9185;loss=0.2339;val_accuracy=0.8199;val_loss=1.2961
Epoch=96;accuracy=0.9117;loss=0.2642;val_accuracy=0.8123;val_loss=1.3081
Epoch=97;accuracy=0.9161;loss=0.2550;val_accuracy=0.8161;val_loss=1.2973
Epoch=98;accuracy=0.9153;loss=0.2346;val_accuracy=0.8161;val_loss=1.3118
Epoch=99;accuracy=0.9128;loss=0.2622;val_accuracy=0.8123;val_loss=1.3141
Epoch=100;accuracy=0.9238;loss=0.2297;val_accuracy=0.8161;val_loss=1.3095
